id,name
77308,La Serra Barolo
77309,Rocche dell'Annunziata Torriglione Barolo
77449,Barolo Rocche di Castiglione
77453,Barolo Riserva Villero
77458,Brunello di Montalcino
77462,Cepparello Red
77472,Brunello di Montalcino  Montosoli
77483,Réservé Châteauneuf-du-Pape
77558,Finca Bella Vista Malbec
77676,Quarz Sauvignon
77679,Gewürztraminer Lunare
78363,Crichet Pajè Barbaresco
79162,Belle Epoque Brut Champagne
79228,Corton Grand Cru 'Clos Rognet'
79262,Pauillac (Grand Cru Classé)
79265,Saint-Julien (Grand Cru Classé)
79326,Barolo Cerretta
79508,Charmes-Chambertin Grand Cru
79631,Vintage
79632,Rosé
79633,Collection
79635,Clos du Mesnil
79762,Pauillac (Grand Cru Classé)
79814,Flor de Pingus
79835,Cuvée Nicolas François Billecart Brut Champagne
79836,La Grande Dame Brut Champagne
79875,Calcarole Amarone della Valpolicella Classico
79906,Chambertin Grand Cru
79939,Montrachet Grand Cru
79963,Barolo Riserva Vigna Rionda
80472,Saint-Estèphe (Grand Cru Classé)
81431,Vintage Port Nacional
81836,Cerretalto Brunello di Montalcino
81848,Saint-Julien (Grand Cru Classé)
81849,Pomerol
82193,Turriga Isola dei Nuraghi
82199,Barolo Riserva Monfortino
82201,Barbera d'Alba Vigna Francia
82203,Barolo Cascina Francia
82405,Barbaresco Gaiun Martinenga
82613,Pessac-Léognan (Grand Cru Classé de Graves)
82690,Saffredi
82698,Brunello di Montalcino Riserva
82779,Corton-Charlemagne Grand Cru
82970,Clos des Porrets Nuits-Saint-Georges 1er Cru
83173,Brunello di Montalcino
83444,Bonnes-Mares Grand Cru
83594,Luce
83595,Luce Brunello di Montalcino
83818,Clos des Goisses Champagne
83920,Romanée-Saint-Vivant Grand Cru (Marey-Monge)
84065,Amarone della Valpolicella Classico
84066,Valpolicella Classico Superiore
84068,Veneto Rosso del Bepi
84344,Amarone Stella
84350,Pedro Ximenez Tradición 20 Years Old Vos
84732,Clos des Lambrays Grand Cru
84911,Chevalier-Montrachet Grand Cru
85063,Clos de la Roche Grand Cru Cuvée Vieilles Vignes
85205,Brunello di Montalcino
86573,Barolo Cannubi
86578,Barolo Cerequio
86666,Charmes-Chambertin Grand Cru
86684,Brut Champagne
86685,Scharzhofberger Riesling Kabinett
86686,Scharzhofberger Riesling Spätlese
86698,Buisson Renard
87114,Rocche di Castiglione Barolo
87360,Beckstoffer To Kalon Vineyard Cabernet Sauvignon
87514,Gallina Barbaresco
87552,Châteauneuf-du-Pape
87554,Châteauneuf-du-Pape Réservé Blanc
87674,Bolgheri Superiore
87760,Tessons Clos de Mon Plaisir Meursault
88177,Chambertin Grand Cru
88470,Barbaresco Rabajà
88757,Harimann Montepulciano d'Abruzzo
89195,Côte à Côte Estate
89750,Amarone della Valpolicella Monte Lodoletta
89753,Valpolicella Superiore Monte Lodoletta
89754,Recioto della Valpolicella (Monte Lodoletta)
89900,L'Apparita
91173,Pommard 1er Cru Les Rugiens-Bas
91569,Calle Merlot Rosso Veronese
92256,Bonnes Mares Grand Cru
92600,Beyond the Clouds
92702,Barolo Ciabot Mentin Ginestra
94692,Cabernet Sauvignon Coeur De Vallée
94749,Percarlo
94752,La Ricolma
94816,Lupicaia
94912,Cabernet Sauvignon
95444,Pomerol
96049,Nebro Ribera del Duero
96337,L'Extravagant de Doisy-Daëne Sauternes
97710,Les Manyes
98032,Bonnes-Mares Grand Cru
98164,La Grande Rue Grand Cru Monopole
98363,Chambolle-Musigny Premier Cru Les Charmes
98586,Brunello di Montalcino
98835,La Cueva del Contador Rioja
98838,Contador Rioja
99224,Maya
99351,Finca Garbet
99556,Quincha Corral
99572,Rioja Reserva
99584,Trasnocho
100047,Chambolle-Musigny
100492,Clos de la Coulée de Serrant
100694,Cuvée Madame Barsac
