id,name
1,Shiraz/Syrah
2,Cabernet Sauvignon
5,Chardonnay
9,Malbec
10,Merlot
14,Pinot Noir
15,Riesling
16,Sangiovese
19,Tempranillo
51,Carménère
67,Touriga Nacional
68,Touriga Franca
69,Tinta Roriz
142,Garnacha
216,Agiorgitiko
224,Chasselas
299,Spätburgunder
326,Feteasca Neagra
355,Weissburgunder
394,Furmint
632,Plavac Mali
